company_id,year,category,detail
HEROMOTOCO,2023-03,OPM_CROSSCHECK_MISMATCH,source=4099.0,computed=88.00
HEROMOTOCO,2024-03,OPM_CROSSCHECK_MISMATCH,source=5235.0,computed=86.15
HINDALCO,2013-03,OPM_CROSSCHECK_MISMATCH,source=7699.0,computed=90.40
HINDALCO,2014-03,OPM_CROSSCHECK_MISMATCH,source=8024.0,computed=90.85
HINDALCO,2015-03,OPM_CROSSCHECK_MISMATCH,source=8844.0,computed=91.52
HINDALCO,2016-03,OPM_CROSSCHECK_MISMATCH,source=7778.0,computed=92.12
HINDALCO,2016-03,CAGR_DECLINE_TO_LOSS,field=net_profit,window=3yr
HINDALCO,2016-03,CAGR_DECLINE_TO_LOSS,field=eps,window=3yr
HINDALCO,2017-03,OPM_CROSSCHECK_MISMATCH,source=12317.0,computed=87.71
HINDALCO,2018-03,OPM_CROSSCHECK_MISMATCH,source=13695.0,computed=88.11
HINDALCO,2019-03,OPM_CROSSCHECK_MISMATCH,source=15511.0,computed=88.12
HINDALCO,2019-03,CAGR_TURNAROUND,field=net_profit,window=3yr
HINDALCO,2019-03,CAGR_TURNAROUND,field=eps,window=3yr
HINDALCO,2020-03,OPM_CROSSCHECK_MISMATCH,source=14306.0,computed=87.89
HINDALCO,2021-03,OPM_CROSSCHECK_MISMATCH,source=17559.0,computed=86.70
HINDALCO,2021-03,CAGR_TURNAROUND,field=net_profit,window=5yr
HINDALCO,2021-03,CAGR_TURNAROUND,field=eps,window=5yr
HINDALCO,2022-03,OPM_CROSSCHECK_MISMATCH,source=28347.0,computed=85.47
HINDALCO,2023-03,OPM_CROSSCHECK_MISMATCH,source=22666.0,computed=89.85
HINDALCO,2024-03,OPM_CROSSCHECK_MISMATCH,source=23872.0,computed=88.95
HINDUNILVR,2013-03,OPM_CROSSCHECK_MISMATCH,source=4220.0,computed=84.37
HINDUNILVR,2014-03,OPM_CROSSCHECK_MISMATCH,source=4759.0,computed=83.72
HINDUNILVR,2015-03,OPM_CROSSCHECK_MISMATCH,source=5412.0,computed=83.07
HINDUNILVR,2016-03,OPM_CROSSCHECK_MISMATCH,source=5910.0,computed=81.64
HINDUNILVR,2017-03,OPM_CROSSCHECK_MISMATCH,source=6328.0,computed=80.92
HINDUNILVR,2018-03,OPM_CROSSCHECK_MISMATCH,source=7499.0,computed=78.90
HINDUNILVR,2019-03,OPM_CROSSCHECK_MISMATCH,source=8880.0,computed=77.41
HINDUNILVR,2020-03,OPM_CROSSCHECK_MISMATCH,source=9861.0,computed=75.21
HINDUNILVR,2021-03,OPM_CROSSCHECK_MISMATCH,source=11626.0,computed=75.28
HINDUNILVR,2022-03,OPM_CROSSCHECK_MISMATCH,source=12857.0,computed=75.49
HINDUNILVR,2023-03,OPM_CROSSCHECK_MISMATCH,source=14147.0,computed=76.65
HINDUNILVR,2024-03,OPM_CROSSCHECK_MISMATCH,source=14659.0,computed=76.32
ICICIBANK,2013-03,OPM_CROSSCHECK_MISMATCH,source=-15085.0,computed=70.59
ICICIBANK,2014-03,OPM_CROSSCHECK_MISMATCH,source=-13084.0,computed=66.40
ICICIBANK,2015-03,OPM_CROSSCHECK_MISMATCH,source=-16120.0,computed=70.53
ICICIBANK,2016-03,OPM_CROSSCHECK_MISMATCH,source=-26955.0,computed=88.12
ICICIBANK,2017-03,OPM_CROSSCHECK_MISMATCH,source=-37737.0,computed=104.76
ICICIBANK,2018-03,OPM_CROSSCHECK_MISMATCH,source=-44906.0,computed=117.12
ICICIBANK,2019-03,OPM_CROSSCHECK_MISMATCH,source=-50971.0,computed=116.38
ICICIBANK,2020-03,OPM_CROSSCHECK_MISMATCH,source=-45190.0,computed=100.62
ICICIBANK,2021-03,OPM_CROSSCHECK_MISMATCH,source=-44805.0,computed=102.41
ICICIBANK,2022-03,OPM_CROSSCHECK_MISMATCH,source=-26558.0,computed=84.69
ICICIBANK,2023-03,OPM_CROSSCHECK_MISMATCH,source=-17341.0,computed=72.57
ICICIBANK,2024-03,OPM_CROSSCHECK_MISMATCH,source=-14152.0,computed=62.41
ICICIGI,2013-03,OPM_CROSSCHECK_MISMATCH,source=-178.0,computed=104.46
ICICIGI,2014-03,OPM_CROSSCHECK_MISMATCH,source=-225.0,computed=105.19
ICICIGI,2015-03,OPM_CROSSCHECK_MISMATCH,source=-221.0,computed=105.24
ICICIGI,2016-03,OPM_CROSSCHECK_MISMATCH,source=764.0,computed=87.34
ICICIGI,2016-03,ICR_DEBT_FREE,interest=0.0
ICICIGI,2017-03,OPM_CROSSCHECK_MISMATCH,source=919.0,computed=87.78
ICICIGI,2018-03,OPM_CROSSCHECK_MISMATCH,source=-262.0,computed=103.79
ICICIGI,2019-03,OPM_CROSSCHECK_MISMATCH,source=1669.0,computed=85.05
ICICIGI,2020-03,OPM_CROSSCHECK_MISMATCH,source=1772.0,computed=84.61
ICICIGI,2021-03,OPM_CROSSCHECK_MISMATCH,source=2072.0,computed=82.97
ICICIGI,2022-03,OPM_CROSSCHECK_MISMATCH,source=1016.0,computed=93.66
ICICIGI,2023-03,OPM_CROSSCHECK_MISMATCH,source=1264.0,computed=92.93
ICICIGI,2024-03,OPM_CROSSCHECK_MISMATCH,source=2577.0,computed=87.42
ICICIPRULI,2013-03,OPM_CROSSCHECK_MISMATCH,source=745.0,computed=96.28
ICICIPRULI,2014-03,OPM_CROSSCHECK_MISMATCH,source=1504.0,computed=93.13
